Language,Tagalog,Wolof,Baure,Isthmus Zapotec,Somali,Kikuyu; Gikuyu,Croatian,Bakhtiari,Choctaw,Marathi,Nepal Bhasa; Newari,Amharic,Tamil,Bavarian,Võro,Abkhazian,Alviri-Vidari,Cebuano,Nganasan,Telugu,Aragonese,Central Kurdish,Swiss German; Alemannic; Alsatian,Luo (Kenya and Tanzania),Finnish,Bodo (India),Uighur; Uyghur,Papiamento,Rohingya,Gaelic; Scottish Gaelic,Malayalam,Thai,Walloon,Gujarati,Kis,Nanai,Chamicuro,Scots,French,Uab Meto,uranik kathava,Pedi; Sepedi; Northern Sotho,Achinese,Lithuanian,Dogrib,Kashmiri,Urdu,Ama (Papua New Guinea),Banjar,Masai,Catalan; Valencian,Votic,Tonga (Tonga Islands),Hakka Chinese,Nauru,Bashkir,Ingush,Cheyenne,Bulgarian,Erzya,Central Melanau,Prussian,Krio,Waray,Welsh,Ewe,Moroccan Arabic,Kildin Sami,Tuvinian,Tok Pisin,San Blas Kuna,"Low German; Low Saxon; German, Low; Saxon, Low",Ganda,Manx,Tuvalu,Chinese,purank kania,Lule Sami,pauranik varta,Cornish,Wu Chinese,Czech,Ket,Sranan Tongo,Iloko,Shona,Tahitian,Bengali,Western Frisian,Western Apache,Komi-Permyak,Northern Frisian,Potawatomi,Mazanderani,Hebrew,Pitcairn-Norfolk,"Greek, Ancient (to 1453)",Northern Sami,Tachelhit,"Sotho, Southern",Chamorro,Macedonian,Rapanui,Ladin,Koryak,Gheg Albanian,Dolgan,pouraniko kahani,Fijian,Eshtehardi,Minangkabau,Swedish,Archi,Gallurese Sardinian,Kabyle,Gagauz,Karachay-Balkar,Pali,Georgian,Slovak,Navajo; Navaho,Kalo Finnish Romani,Standard Malay,Venda,Russian,puranik kahania,Latgalian,Sichuan Yi; Nuosu,onjomnosk,pouranik kahini,Nogai,Moksha,Dongxiang,Hungarian,Algonquin,Classical Syriac,Bau Bidayuh,Hopi,Albanian,Kannada,Kara-Kalpak,Nenets,Central Atlas Tamazight,Laz,Esperanto,Pennsylvania German,Central Khmer,Lombard,Romansh,Chechen,pauranik akhyayika,Malay (macrolanguage),Gan Chinese,Mandarin Chinese,pauranikakathasamuhah,Danish,Kölsch,Vlaams,Silesian,Kalmyk; Oirat,Tatar,Lak,Divehi; Dhivehi; Maldivian,Shor,Dzongkha,Ingrian,Aleut,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,Unnamed: 168,Cherokee,Russia Buriat,Japanese,Tohono O'odham,khristpurb,Mandinka,Haitian; Haitian Creole,Tai Dam,Sundanese,Lezghian,Romagnol,Mócheno,Khakas,Turkmen,Ainu,Indonesian,Turkish,Fiji Hindi,Borôro,Basque,Sanskrit,Talysh,Coptic,puraniki,Burmese,Gilbertese,Manchu,Central Okinawan,Oriya,Standard Arabic,Khoekhoe,Kalaallisut; Greenlandic,Limburgan; Limburger; Limburgish,Wymysorys,Tigrinya,Western Abnaki,Neapolitan,!Xóõ,Mongolian,Ngarrindjeri,Pacific Gulf Yupik,Lower Sorbian,Abaza,Yakut,Hiligaynon,Persian,Ladino,Innu,Lakota,Dakota,German,Jamaican Creole English,Lao,Min Dong Chinese,Mirandese,Chichewa; Chewa; Nyanja,"Bokmål, Norwegian; Norwegian Bokmål",Hausa,Aguaruna,Ligurian,Irish,Maltese,pauranikakathe,Romanian,Tswana,Kinyarwanda,Mingrelian,Sinhala; Sinhalese,Meru,English,Sassarese Sardinian,Warlpiri,Kashubian,Kazakh,puranik kanyo,Venetian,Javanese,Northern Tiwa,Faroese,Galician,pauranika-kathe,Breton,Icelandic,Lushai,Alabama,Powhatan,Belarusian,Western Mari,pauranika kathe,Crimean Tatar; Crimean Turkish,Corsican,Lingala,Armenian,Evenki,Upper Sorbian,Veps,Guerrero Amuzgo,Dutch,Chuvash,Latin,Asturian; Bable; Leonese; Asturleonese,Seri,Hawaiian,Pangasinan,Polish,Inari Sami,Tetum,Adyghe; Adygei,Zulu,Chinook jargon,Buginese,Italian,Panjabi; Punjabi,Assamese,Pampanga; Kapampangan,Egyptian Arabic,Arpitan,Udmurt,Santali,Kirghiz; Kyrgyz,Kamba,Ukrainian,Slovenian,Kabardian,Kumyk,kristapurva,Nepali,Sindhi,Piemontese,Guadeloupean Creole French,Madurese,Extremaduran,Dungan,Pitjantjatjara,Manipuri,Central Yupik,Yue Chinese,Skolt Sami,Modern Greek (1453-),Avestan,Bambara,Bishnupriya,Friulian,pauraniki,Aromanian; Arumanian; Macedo-Romanian,Samogitian,Portuguese,Tibetan,Afrikaans,Miyako,Xhosa,Vietnamese,Northern Kurdish,Avaric,Sicilian,pouraniko kotha,Occitan (post 1500); Provençal,Tajik,Liv,Ossetian; Ossetic,Rusyn,pauranika,Balinese,Korean,Central Bikol,Samoan,"Norwegian Nynorsk; Nynorsk, Norwegian",Konkani,Saterfriesisch,Logudorese Sardinian,Eastern Mari,Yucateco,Luxembourgish; Letzeburgesch,Spanish; Castilian,Bislama,Karelian,Igbo,Mi'kmaq; Micmac,Southern Altai,Swati,Maori,Hindi,Western Panjabi,Pipil,Campidanese Sardinian,Udi,Yoruba
Tagalog,168,27,1,0,53,9,466,1,3,145,12,28,97,33,55,40,0,194,0,101,219,49,49,11,415,113,15,151,8,163,143,148,122,250,0,0,8,139,749,1,0,50,12,312,0,136,204,0,4,1,640,4,27,2,5,88,2,0,390,60,11,11,0,77,268,21,7,13,51,62,0,94,22,125,19,7,0,0,0,148,1,442,7,7,117,7,16,219,218,0,40,56,0,5,97,7,56,62,0,75,73,293,9,43,0,0,0,0,29,0,8,468,1,3,30,41,28,1,180,451,17,2,465,0,452,0,21,0,0,0,28,74,0,404,0,4,0,1,355,118,19,14,1,3,552,15,52,112,181,62,0,448,2,24,0,461,46,35,18,34,103,18,20,2,0,0,1,35,5,6,40,324,0,0,0,180,1,74,51,1,0,44,143,0,528,431,13,0,486,58,1,14,0,33,9,4,0,190,151,6,23,150,8,18,2,85,0,147,0,0,112,10,83,122,95,18,0,3,0,593,27,21,1,27,3,452,40,0,98,251,287,0,551,77,32,5,22,11,706,3,0,75,181,0,125,132,9,179,527,0,262,288,0,2,0,307,23,0,90,140,78,174,39,108,40,1,585,89,382,403,4,95,13,483,2,38,14,102,3,5,661,212,131,56,11,33,55,0,150,9,377,474,17,53,0,160,13,68,3,2,22,3,0,75,1,7,3,264,0,28,5,181,0,101,75,903,5,352,1,75,137,174,51,259,0,357,147,30,129,50,0,3,148,19,71,264,197,69,17,129,3,186,753,21,9,17,0,38,4,91,196,14,0,16,9,93
Wolof,27,30,0,0,34,3,25,0,1,19,2,13,16,12,2,2,0,17,0,18,22,2,12,3,8,24,7,22,3,12,13,7,17,17,0,0,0,16,45,0,0,5,1,9,0,22,21,0,0,3,30,2,8,0,3,13,0,0,17,2,0,3,0,2,20,10,4,6,9,14,0,17,5,4,6,0,0,0,0,12,0,14,0,1,22,0,8,22,21,0,7,10,0,1,7,3,8,5,0,3,12,19,0,12,0,0,0,0,6,0,0,20,1,0,23,11,8,2,15,25,1,1,43,0,21,0,0,0,0,0,0,8,0,31,0,1,0,0,17,17,10,8,1,2,28,9,4,15,33,12,0,40,1,0,0,23,9,9,3,0,18,6,5,1,0,0,0,17,1,2,8,10,0,0,0,24,0,16,9,0,0,8,14,0,41,24,2,0,16,7,0,5,0,10,5,0,0,19,24,0,9,18,0,8,0,24,0,4,0,0,17,8,3,12,1,1,0,0,0,27,14,0,0,0,1,23,57,0,22,14,25,0,29,1,3,1,2,4,33,0,0,4,14,0,17,18,2,23,26,0,19,19,0,2,0,6,6,0,16,17,17,14,8,19,1,0,28,3,28,26,0,11,3,18,0,12,8,14,0,3,33,22,18,9,5,14,12,0,19,3,10,23,8,6,0,21,6,18,0,0,9,0,0,13,0,0,0,28,0,29,2,23,0,19,3,45,0,23,0,14,6,18,7,32,0,34,20,12,15,6,0,0,1,4,10,14,22,7,3,7,0,24,32,8,0,8,0,7,3,17,28,9,0,5,4,20
Baure,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Isthmus Zapotec,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0,1,0,3,3,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,1,2,0,0,1,0,0,0,0,0,2,0,0,3,0,0,1,1,0,1,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,0,0,0,2,0,3,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,2,0,0,0,1,0
Somali,53,34,0,0,20,10,65,0,0,49,5,23,26,13,6,3,0,34,0,33,40,13,29,5,52,48,7,40,5,27,39,18,36,67,0,0,0,29,84,0,0,11,0,42,0,41,58,0,5,2,73,1,14,0,1,30,0,0,63,5,2,5,0,16,41,17,5,14,17,20,0,30,17,16,15,1,0,0,0,20,0,58,0,0,32,6,12,54,53,0,17,25,0,8,22,2,20,13,0,16,26,52,0,21,0,0,0,0,13,0,0,64,2,0,38,18,19,1,31,70,2,2,85,0,55,0,0,0,0,0,2,14,0,60,0,2,0,0,39,39,17,16,2,3,67,16,8,31,50,34,0,70,2,2,0,70,26,19,6,3,49,15,12,0,0,0,0,29,0,3,17,28,0,0,0,34,0,31,17,0,0,17,46,0,92,56,5,0,47,16,1,13,0,17,5,0,0,52,58,0,14,40,0,17,0,32,0,24,0,0,39,11,11,15,15,2,0,4,0,83,24,1,0,1,2,69,72,0,36,42,53,0,68,16,14,4,5,10,81,0,0,10,27,0,36,45,2,58,64,0,44,62,0,2,0,31,18,0,26,39,32,38,17,45,6,0,78,11,46,51,0,22,2,47,2,21,17,47,0,1,74,61,46,17,9,16,20,0,47,6,39,61,16,22,0,49,21,33,1,0,15,0,0,29,0,0,1,47,0,25,4,46,0,24,9,95,1,61,0,37,15,59,19,51,0,53,40,15,33,13,0,0,18,6,18,51,54,20,4,22,0,49,75,14,1,15,0,16,2,28,64,16,0,6,6,35
Kikuyu; Gikuyu,9,3,0,0,10,18,10,0,0,3,0,1,3,4,0,0,0,3,0,4,3,0,4,14,5,4,0,3,0,4,4,1,4,5,1,0,1,5,9,0,0,2,0,10,0,3,6,0,0,3,15,0,2,0,1,1,0,0,8,0,0,0,0,0,16,2,0,1,1,2,0,1,15,0,1,2,0,0,0,3,0,14,2,0,3,2,1,6,10,0,1,3,0,1,1,0,2,7,0,3,2,8,0,2,0,0,0,0,2,0,0,15,0,0,3,1,1,0,1,10,3,0,17,0,7,0,0,0,0,0,0,1,0,12,0,0,0,0,11,7,1,1,0,0,10,2,0,2,6,4,0,7,0,3,0,13,3,1,0,0,4,1,2,0,0,0,0,3,1,0,1,10,0,0,0,2,0,1,1,0,0,1,1,0,12,12,0,0,10,0,0,1,0,1,0,0,0,4,6,0,1,7,0,1,0,6,0,3,0,0,5,1,0,1,1,0,0,0,0,12,1,0,0,0,0,16,7,0,3,5,10,0,10,2,15,0,1,35,8,0,0,0,1,0,3,3,0,13,9,0,10,15,0,0,0,4,1,0,2,3,8,2,1,8,0,0,14,0,6,9,0,4,0,7,0,2,1,6,0,0,14,9,5,1,1,2,1,1,4,68,3,10,1,1,0,4,1,7,0,0,2,0,0,4,0,0,0,5,0,3,0,5,0,2,0,11,0,13,0,3,8,6,1,8,0,8,3,2,3,0,0,0,2,0,1,13,4,2,0,1,0,6,14,1,0,3,0,1,0,10,7,1,0,1,0,3
Croatian,466,25,1,3,65,10,8988,0,1,271,17,26,235,68,141,46,0,217,0,232,469,77,113,16,4512,268,36,310,13,394,338,731,150,799,4,8,5,199,7290,0,0,170,3,2245,0,415,548,0,2,1,5642,12,22,7,5,140,4,0,4221,129,5,25,1,87,707,33,3,17,59,97,1,143,34,386,14,53,0,0,0,270,0,6757,1,16,60,19,13,643,531,0,41,52,0,11,297,6,153,148,2,169,83,3008,6,37,0,2,1,0,25,0,3,3769,8,6,30,43,35,1,604,8812,28,1,1849,1,6280,0,55,1,0,0,29,129,0,3059,0,4,0,4,1362,346,23,17,3,2,3549,11,78,192,355,84,0,2533,3,168,0,2949,133,48,27,45,142,17,20,7,0,4,1,192,16,8,42,2288,1,0,0,361,0,88,62,2,4,53,357,1,3159,2071,19,0,3273,166,1,18,0,54,9,8,5,586,382,5,39,220,13,16,4,149,6,591,0,0,389,9,155,45,286,22,0,5,3,5715,26,73,1,47,6,2716,63,0,141,780,712,0,6060,309,43,5,33,16,8774,7,1,218,623,0,153,167,10,510,3465,0,556,1185,2,2,0,1674,20,0,162,222,124,626,45,324,55,0,4960,192,1307,1577,5,108,4,6575,13,30,16,150,5,2,5624,695,348,22,26,34,60,2,362,12,2573,16258,15,62,0,322,19,127,7,0,30,5,1,223,3,18,27,1962,1,44,6,339,0,229,190,6846,4,1428,8,139,590,432,51,499,0,1034,313,35,243,72,0,0,535,8,125,1248,573,90,20,518,6,549,6422,24,24,13,2,45,2,179,526,18,0,30,14,155
Bakhtiari,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,7,2,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,1,0,0,0,1,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,1,0,0
Choctaw,3,1,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,3,0,0,7,0,3,0,2,0,0,1,0,1,0,0,3,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,1,0,1,0,0,5,0,0,0,1,3,0,2,0,2,0,0,0,0,0,11,0,1,0,1,5,0,0,1,3,0,0,5,0,0,0,0,1,1,0,1,3,1,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,1,5,0,0,3,3,0,0,1,0,0,0,3,1,3,1,0,0,0,0,1,0,0,0,4,0,0,1,1,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,5,0,0,0,0,0,4,4,0,0,0,0,4,0,0,9,2,0,0,3,0,0,0,0,0,5,0,0,1,0,0,3,0,3,3,3,0,14,3,0,3,0,1,0,0,0,5,0,0,1,1,0,0,5,0,5,3,0,1,0,2,0,0,0,0,0,0,4,0,0,3,0,2,1,0,0,0,1,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,2,1,1,0,4,0,0,0,2,0,8,0,3,0,1,0,1,0,0,0,0,0,3,0,2,0,0,0,3,3,4,0,2,0,1,0,3,0,0,0,1,1,3
Marathi,145,19,0,0,49,3,271,0,0,326,22,32,219,30,37,18,0,82,0,470,104,49,35,4,264,305,20,71,33,117,453,194,75,1211,0,0,2,73,376,0,0,26,2,167,0,232,406,0,6,0,309,2,15,6,0,45,0,0,236,41,7,7,1,21,156,24,2,13,29,34,0,65,18,81,14,18,0,0,0,95,0,243,3,2,33,5,8,697,162,0,24,37,0,11,55,2,27,35,0,67,30,218,2,21,0,0,0,0,16,1,1,238,1,1,25,29,16,6,139,244,10,1,238,0,329,0,5,0,0,0,17,47,0,241,0,2,2,0,161,850,13,12,1,1,282,16,66,75,115,48,0,235,2,39,0,252,42,25,9,22,82,13,24,1,4,1,1,31,6,4,27,247,0,0,0,83,0,33,26,1,2,29,100,1,287,232,8,0,220,806,3,16,0,41,7,1,0,664,126,4,20,87,0,16,0,49,0,121,0,0,78,9,37,13,75,6,0,4,0,333,20,38,0,10,1,232,47,0,56,155,174,0,281,66,23,5,65,5,410,1,0,48,113,0,75,77,3,145,240,0,155,203,2,2,0,204,15,0,54,76,79,172,28,72,20,0,328,52,183,183,0,53,6,288,2,23,13,73,3,1,313,745,595,18,12,23,36,4,125,2,247,261,12,30,0,790,24,38,2,0,15,2,0,132,1,11,2,141,2,20,8,105,0,72,44,478,6,195,2,50,108,126,31,118,0,161,114,23,83,24,0,2,175,7,48,136,818,45,3,67,0,113,324,14,8,12,1,27,5,64,1427,18,0,4,5,68
